latitude,longitude,timestamp,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,wind_direction_10m,snowfall,weather_code,cloud_cover
6.8065942,-4.8036623,2018-08-31T00:00,23.6,92,0.1,7.3,191,0.0,51,92
6.8065942,-4.8036623,2018-08-31T01:00,23.3,94,0.2,7.2,207,0.0,51,98
6.8065942,-4.8036623,2018-08-31T02:00,23.1,95,0.3,7.3,213,0.0,51,95
6.8065942,-4.8036623,2018-08-31T03:00,22.5,97,0.4,7.9,204,0.0,51,100
6.8065942,-4.8036623,2018-08-31T04:00,22.4,98,0.0,8.4,200,0.0,3,84
6.8065942,-4.8036623,2018-08-31T05:00,22.2,98,0.0,8.0,207,0.0,3,94
6.8065942,-4.8036623,2018-08-31T06:00,21.9,98,0.2,6.2,201,0.0,51,98
6.8065942,-4.8036623,2018-08-31T07:00,22.1,98,0.2,5.8,202,0.0,51,77
6.8065942,-4.8036623,2018-08-31T08:00,23.1,97,0.3,4.8,193,0.0,51,96
6.8065942,-4.8036623,2018-08-31T09:00,23.8,92,0.2,7.4,194,0.0,51,69
6.8065942,-4.8036623,2018-08-31T10:00,26.1,80,0.1,7.2,217,0.0,51,98
6.8065942,-4.8036623,2018-08-31T11:00,26.7,79,0.2,6.8,183,0.0,51,99
6.8065942,-4.8036623,2018-08-31T12:00,27.2,74,0.4,2.5,278,0.0,51,86
6.8065942,-4.8036623,2018-08-31T13:00,27.8,72,1.3,7.4,219,0.0,61,96
6.8065942,-4.8036623,2018-08-31T14:00,25.8,85,4.6,7.2,207,0.0,63,100
6.8065942,-4.8036623,2018-08-31T15:00,26.8,79,0.1,1.5,256,0.0,51,100
6.8065942,-4.8036623,2018-08-31T16:00,27.4,77,0.2,3.8,253,0.0,51,100
6.8065942,-4.8036623,2018-08-31T17:00,25.9,87,2.8,6.4,227,0.0,63,99
6.8065942,-4.8036623,2018-08-31T18:00,24.9,91,0.0,9.3,196,0.0,3,96
6.8065942,-4.8036623,2018-08-31T19:00,24.0,92,0.0,8.3,198,0.0,3,91
6.8065942,-4.8036623,2018-08-31T20:00,23.5,94,0.0,8.0,207,0.0,2,74
6.8065942,-4.8036623,2018-08-31T21:00,23.1,96,0.0,8.6,195,0.0,3,92
6.8065942,-4.8036623,2018-08-31T22:00,22.9,97,0.0,6.5,214,0.0,3,95
6.8065942,-4.8036623,2018-08-31T23:00,22.7,98,0.0,5.1,219,0.0,3,97
6.8065942,-4.8036623,2018-09-01T00:00,22.9,98,0.0,5.9,194,0.0,3,88
6.8065942,-4.8036623,2018-09-01T01:00,22.8,99,0.0,6.2,201,0.0,3,97
6.8065942,-4.8036623,2018-09-01T02:00,22.6,99,0.0,5.9,223,0.0,3,95
6.8065942,-4.8036623,2018-09-01T03:00,22.7,97,0.2,4.1,225,0.0,51,97
6.8065942,-4.8036623,2018-09-01T04:00,22.5,98,0.2,4.0,207,0.0,51,97
6.8065942,-4.8036623,2018-09-01T05:00,22.5,97,0.4,5.7,215,0.0,51,96
6.8065942,-4.8036623,2018-09-01T06:00,22.6,98,0.0,6.3,204,0.0,3,90
6.8065942,-4.8036623,2018-09-01T07:00,22.8,98,0.1,5.6,220,0.0,51,84
6.8065942,-4.8036623,2018-09-01T08:00,23.0,100,0.2,4.2,211,0.0,51,100
6.8065942,-4.8036623,2018-09-01T09:00,23.6,100,0.6,4.0,190,0.0,53,100
6.8065942,-4.8036623,2018-09-01T10:00,24.0,100,1.5,5.5,203,0.0,61,100
6.8065942,-4.8036623,2018-09-01T11:00,25.0,95,1.7,3.1,216,0.0,61,91
6.8065942,-4.8036623,2018-09-01T12:00,25.8,81,2.8,15.3,236,0.0,63,75
6.8065942,-4.8036623,2018-09-01T13:00,25.7,83,1.8,7.9,240,0.0,61,76
6.8065942,-4.8036623,2018-09-01T14:00,27.5,76,0.3,7.3,250,0.0,51,67
6.8065942,-4.8036623,2018-09-01T15:00,25.3,88,2.9,11.2,230,0.0,63,76
6.8065942,-4.8036623,2018-09-01T16:00,26.5,82,0.1,7.7,233,0.0,51,62
6.8065942,-4.8036623,2018-09-01T17:00,27.3,75,0.0,8.5,208,0.0,2,61
6.8065942,-4.8036623,2018-09-01T18:00,26.3,77,0.0,9.2,201,0.0,2,63
6.8065942,-4.8036623,2018-09-01T19:00,25.0,84,0.0,8.4,200,0.0,2,68
6.8065942,-4.8036623,2018-09-01T20:00,24.5,87,0.0,8.9,201,0.0,2,79
6.8065942,-4.8036623,2018-09-01T21:00,24.1,90,0.0,8.5,192,0.0,3,95
6.8065942,-4.8036623,2018-09-01T22:00,23.7,92,0.0,8.4,190,0.0,3,93
6.8065942,-4.8036623,2018-09-01T23:00,23.3,93,0.0,8.4,190,0.0,3,88
6.8065942,-4.8036623,2018-09-02T00:00,22.9,97,0.0,8.6,202,0.0,3,89
6.8065942,-4.8036623,2018-09-02T01:00,23.1,96,0.0,8.0,198,0.0,3,100
6.8065942,-4.8036623,2018-09-02T02:00,23.2,95,0.0,6.5,180,0.0,3,98
6.8065942,-4.8036623,2018-09-02T03:00,23.0,95,0.0,7.7,191,0.0,3,100
6.8065942,-4.8036623,2018-09-02T04:00,23.0,94,0.1,7.4,203,0.0,51,98
6.8065942,-4.8036623,2018-09-02T05:00,23.0,94,0.0,6.3,193,0.0,3,100
6.8065942,-4.8036623,2018-09-02T06:00,23.1,94,0.0,6.1,177,0.0,3,99
6.8065942,-4.8036623,2018-09-02T07:00,23.3,92,0.1,7.3,189,0.0,51,100
6.8065942,-4.8036623,2018-09-02T08:00,23.9,90,0.1,6.5,177,0.0,51,95
6.8065942,-4.8036623,2018-09-02T09:00,25.2,83,0.1,9.7,158,0.0,51,50
6.8065942,-4.8036623,2018-09-02T10:00,27.5,70,0.1,9.8,172,0.0,51,32
6.8065942,-4.8036623,2018-09-02T11:00,28.6,68,0.5,8.5,208,0.0,53,99
6.8065942,-4.8036623,2018-09-02T12:00,28.6,68,0.2,7.2,198,0.0,51,77
6.8065942,-4.8036623,2018-09-02T13:00,27.9,69,0.2,8.8,199,0.0,51,48
6.8065942,-4.8036623,2018-09-02T14:00,27.8,73,0.6,7.0,201,0.0,53,61
6.8065942,-4.8036623,2018-09-02T15:00,27.8,72,0.1,10.9,214,0.0,51,81
6.8065942,-4.8036623,2018-09-02T16:00,25.9,80,0.2,9.2,206,0.0,51,42
6.8065942,-4.8036623,2018-09-02T17:00,26.8,76,0.0,10.5,196,0.0,1,24
6.8065942,-4.8036623,2018-09-02T18:00,26.0,79,0.1,9.9,190,0.0,51,31
