terrain,is_brownian,S,D,sigma_length,sigma_angle,bias_x,bias_y,barrier,unmapped
10,0,4,8,0.4,0.8,4,4,0,0
20,0,3,8,0.8,0.3,4,4,0,0
30,0,7,8,0.9,0.2,4,4,0,0
40,0,4,8,0.8,0.4,4,4,0,0
50,0,4,8,0.5,0.2,4,4,0,0
60,0,5,8,0.6,0.5,4,4,0,0
70,0,6,8,0.4,0.1,4,4,0,0
80,0,8,8,0.5,0.2,4,4,0,0
90,0,7,8,0.5,0.5,4,4,0,0
95,0,8,8,0.8,0.4,4,4,0,0
100,0,4,8,1.0,0.5,4,4,0,0
