terrain,is_brownian,S,D,sigma_length,sigma_angle,bias_x,bias_y,barrier,unmapped
0,1,4,1,0.6,0.8,0,0,0,1
10,1,4,1,0.6,0.8,0,0,0,0
20,0,4,8,0.8,0.3,0,0,0,0
30,1,4,1,0.9,0.2,0,0,0,0
40,0,4,8,0.8,0.4,0,0,0,0
50,0,4,4,0.5,0.2,0,0,1,0
60,0,4,8,0.6,0.5,0,0,0,0
70,1,4,1,0.6,0.1,0,0,0,0
80,0,4,8,0.5,0.2,0,0,1,0
90,1,4,1,0.5,0.5,0,0,0,0
95,1,4,1,0.8,0.4,0,0,0,0
100,0,4,8,1.0,0.5,0,0,0,0
