terrain,is_brownian,S,D,sigma_length,sigma_angle,bias_x,bias_y,barrier,unmapped
10,1,4,1,0.4,0.8,2,2,0,0
20,1,3,1,0.8,0.3,2,2,0,0
30,1,7,1,0.9,0.2,2,2,0,0
40,1,4,1,0.8,0.4,2,2,0,0
50,1,4,1,0.5,0.2,2,2,0,0
60,1,5,1,0.6,0.5,2,2,0,0
70,1,4,1,0.4,0.1,2,2,0,0
80,1,5,1,0.5,0.2,2,2,1,0
90,1,2,1,0.5,0.5,2,2,0,0
95,1,3,1,0.8,0.4,2,2,0,0
100,1,4,1,1.0,0.5,2,2,0,0
