terrain,is_brownian,S,D,sigma_length,sigma_angle,bias_x,bias_y,barrier,unmapped
10,1,2,1,0.4,0.8,1,1,0,0
20,0,1,8,0.8,0.3,1,1,0,0
30,1,3,1,0.9,0.2,1,1,0,0
40,0,2,8,0.8,0.4,1,1,0,0
50,0,1,4,0.5,0.2,1,1,0,0
60,0,2,8,0.6,0.5,1,1,0,0
70,1,2,1,0.4,0.1,1,1,0,0
80,0,2,8,0.5,0.2,1,1,1,0
90,1,1,1,0.5,0.5,1,1,0,0
95,1,1,1,0.8,0.4,1,1,0,0
100,0,1,8,1.0,0.5,1,1,0,0
