event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:altitude,argos:best-level,argos:calcul-freq,argos:error-radius,argos:gdop,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,argos:nopc,argos:orientation,argos:pass-duration,argos:sat-id,argos:semi-major,argos:semi-minor,argos:sensor-1,argos:sensor-2,argos:sensor-3,argos:transmission-timestamp,argos:valid-location-algorithm,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
17136264430,true,2009-06-24 13:57:26.000,-139.0667,69.59255,,0.079,-129.0,4.016775062E8,352.0,260,"11",69.59255,75.49255,"2",-139.0667,-169.73121,10,0,3,102.0,682.0,"NN",1312.0,94.0,3,3,372,2009-06-24 14:02:06.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136262919,true,2009-06-25 15:28:38.000,-139.11793,69.61499,,0.146,-128.0,4.016775069E8,314.0,278,"11",69.61499,82.4021,"2",-139.11793,151.89746,8,0,3,92.0,496.0,"NN",820.0,120.0,3,3,340,2009-06-25 15:26:34.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136260492,true,2009-06-26 16:40:12.000,-139.09177,69.58184,,0.106,-126.0,4.01677506E8,237.0,394,"11",69.58184,73.92704,"3",-139.09177,-163.457,7,0,3,91.0,496.0,"NK",698.0,80.0,4,3,316,2009-06-26 16:41:45.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136252246,true,2009-06-27 15:46:43.000,-139.03699,69.623,,0.0,-130.0,4.016774977E8,288.0,462,"11",69.623,65.12797,"2",-139.03699,-114.60643,6,0,4,90.0,372.0,"NL",3206.0,25.0,20,4,256,2009-06-27 15:43:38.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136262132,true,2009-06-28 14:11:24.000,-139.08535,69.61164,,0.116,-130.0,4.016775163E8,380.0,383,"11",69.61164,63.4772,"2",-139.08535,-103.92175,5,0,1,101.0,248.0,"NK",1130.0,128.0,7,3,332,2009-06-28 14:09:20.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136250615,true,2009-06-29 15:20:53.000,-139.0654,69.61211,,0.094,-128.0,4.016775037E8,331.0,229,"11",69.61211,63.19714,"2",-139.0654,-104.97392,9,0,3,88.0,558.0,"NL",1227.0,89.0,9,3,244,2009-06-29 15:25:33.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136262640,true,2009-06-30 14:36:12.000,-139.07021,69.61048,,0.095,-128.0,4.016775055E8,1227.0,226,"11",69.61048,78.28912,"1",-139.07021,175.2227,10,0,4,97.0,558.0,"NN",3450.0,436.0,13,3,336,2009-06-30 14:36:43.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136264617,true,2009-07-01 14:25:05.000,-139.08284,69.60813,,0.104,-126.0,4.016775048E8,422.0,288,"11",69.60813,77.52861,"2",-139.08284,179.19101,7,0,3,95.0,372.0,"NN",1599.0,111.0,14,4,380,2009-07-01 14:22:00.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136264077,true,2009-07-02 14:15:01.000,-139.14614,69.62339,,0.12,-125.0,4.016775036E8,388.0,310,"11",69.62339,76.67672,"2",-139.14614,-176.44223,11,0,3,93.0,620.0,"NN",1340.0,112.0,6,3,360,2009-07-02 14:12:26.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136264000,true,2009-07-03 14:04:25.000,-139.07299,69.61109,,0.096,-128.0,4.016774989E8,180.0,266,"11",69.61109,75.86598,"3",-139.07299,-172.05967,9,0,3,99.0,620.0,"NN",549.0,58.0,13,4,356,2009-07-03 14:08:03.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136260863,true,2009-07-04 16:47:57.000,-139.11453,69.61223,,0.14,-126.0,4.016774922E8,200.0,255,"11",69.61223,74.5691,"3",-139.11453,-166.61522,11,0,4,97.0,620.0,"NK",772.0,51.0,24,4,316,2009-07-04 16:50:02.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136261844,true,2009-07-05 14:44:12.000,-139.12093,69.61913,,0.149,-127.0,4.016774567E8,708.0,255,"11",69.61913,65.62023,"1",-139.12093,-116.5752,8,0,3,93.0,558.0,"NK",4318.0,116.0,31,4,324,2009-07-05 14:46:48.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
