latitude,longitude,timestamp,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,wind_direction_10m,snowfall,weather_code,cloud_cover
-33.6733031,18.7346108,2014-11-24T00:00,16.4,93,0.0,8.3,185,0.0,0,13
-33.6733031,18.7346108,2014-11-24T01:00,15.9,94,0.0,7.6,175,0.0,0,9
-33.6733031,18.7346108,2014-11-24T02:00,15.6,94,0.0,7.3,171,0.0,0,10
-33.6733031,18.7346108,2014-11-24T03:00,15.2,95,0.0,7.3,169,0.0,0,8
-33.6733031,18.7346108,2014-11-24T04:00,15.2,95,0.0,6.8,162,0.0,0,5
-33.6733031,18.7346108,2014-11-24T05:00,17.3,86,0.0,7.2,162,0.0,0,4
-33.6733031,18.7346108,2014-11-24T06:00,19.4,74,0.0,7.8,158,0.0,0,5
-33.6733031,18.7346108,2014-11-24T07:00,22.1,60,0.0,7.6,149,0.0,0,4
-33.6733031,18.7346108,2014-11-24T08:00,23.9,50,0.0,6.2,144,0.0,2,52
-33.6733031,18.7346108,2014-11-24T09:00,25.5,44,0.0,4.6,162,0.0,3,82
-33.6733031,18.7346108,2014-11-24T10:00,26.7,40,0.0,6.6,221,0.0,3,88
-33.6733031,18.7346108,2014-11-24T11:00,27.6,39,0.0,9.7,219,0.0,2,74
-33.6733031,18.7346108,2014-11-24T12:00,27.8,39,0.0,12.7,215,0.0,1,45
-33.6733031,18.7346108,2014-11-24T13:00,27.7,41,0.0,15.1,208,0.0,1,35
-33.6733031,18.7346108,2014-11-24T14:00,27.3,43,0.0,17.7,204,0.0,3,95
-33.6733031,18.7346108,2014-11-24T15:00,26.5,45,0.0,19.1,202,0.0,3,97
-33.6733031,18.7346108,2014-11-24T16:00,25.4,48,0.0,18.7,205,0.0,3,82
-33.6733031,18.7346108,2014-11-24T17:00,24.2,51,0.0,15.5,208,0.0,2,66
-33.6733031,18.7346108,2014-11-24T18:00,23.0,52,0.0,11.2,195,0.0,0,19
-33.6733031,18.7346108,2014-11-24T19:00,21.7,56,0.0,11.3,173,0.0,0,13
-33.6733031,18.7346108,2014-11-24T20:00,21.1,56,0.0,11.8,149,0.0,0,2
-33.6733031,18.7346108,2014-11-24T21:00,20.3,58,0.0,12.5,134,0.0,0,0
-33.6733031,18.7346108,2014-11-24T22:00,19.2,62,0.0,10.5,131,0.0,0,0
-33.6733031,18.7346108,2014-11-24T23:00,18.1,67,0.0,10.0,128,0.0,0,0
-33.6733031,18.7346108,2014-11-25T00:00,17.2,71,0.0,9.8,126,0.0,0,0
-33.6733031,18.7346108,2014-11-25T01:00,16.5,75,0.0,9.2,121,0.0,0,0
-33.6733031,18.7346108,2014-11-25T02:00,15.9,79,0.0,9.2,116,0.0,0,0
-33.6733031,18.7346108,2014-11-25T03:00,15.5,81,0.0,9.0,113,0.0,0,0
-33.6733031,18.7346108,2014-11-25T04:00,15.6,82,0.0,9.7,112,0.0,0,0
-33.6733031,18.7346108,2014-11-25T05:00,17.9,71,0.0,10.6,108,0.0,0,0
-33.6733031,18.7346108,2014-11-25T06:00,20.9,60,0.0,13.1,98,0.0,0,0
-33.6733031,18.7346108,2014-11-25T07:00,24.1,50,0.0,14.0,91,0.0,0,0
-33.6733031,18.7346108,2014-11-25T08:00,26.9,43,0.0,11.5,88,0.0,0,0
-33.6733031,18.7346108,2014-11-25T09:00,29.1,36,0.0,7.6,87,0.0,0,0
-33.6733031,18.7346108,2014-11-25T10:00,30.8,31,0.0,3.3,139,0.0,0,0
-33.6733031,18.7346108,2014-11-25T11:00,32.0,27,0.0,3.6,186,0.0,0,0
-33.6733031,18.7346108,2014-11-25T12:00,32.9,25,0.0,5.6,207,0.0,0,0
-33.6733031,18.7346108,2014-11-25T13:00,33.2,24,0.0,7.5,215,0.0,0,0
-33.6733031,18.7346108,2014-11-25T14:00,33.0,25,0.0,10.0,218,0.0,0,0
-33.6733031,18.7346108,2014-11-25T15:00,32.2,27,0.0,12.9,210,0.0,0,0
-33.6733031,18.7346108,2014-11-25T16:00,30.7,32,0.0,14.4,193,0.0,0,0
-33.6733031,18.7346108,2014-11-25T17:00,28.4,38,0.0,12.8,164,0.0,0,0
-33.6733031,18.7346108,2014-11-25T18:00,26.0,44,0.0,14.5,136,0.0,0,0
-33.6733031,18.7346108,2014-11-25T19:00,24.3,49,0.0,16.2,122,0.0,0,0
-33.6733031,18.7346108,2014-11-25T20:00,22.8,55,0.0,15.1,115,0.0,0,0
-33.6733031,18.7346108,2014-11-25T21:00,21.6,59,0.0,13.7,108,0.0,0,0
-33.6733031,18.7346108,2014-11-25T22:00,20.7,62,0.0,12.1,102,0.0,0,0
-33.6733031,18.7346108,2014-11-25T23:00,20.0,66,0.0,9.8,98,0.0,0,0
-33.6733031,18.7346108,2014-11-26T00:00,19.3,69,0.0,7.6,87,0.0,0,0
-33.6733031,18.7346108,2014-11-26T01:00,18.7,72,0.0,7.2,53,0.0,0,0
-33.6733031,18.7346108,2014-11-26T02:00,18.3,74,0.0,13.4,8,0.0,0,2
-33.6733031,18.7346108,2014-11-26T03:00,18.7,71,0.0,22.8,344,0.0,0,8
-33.6733031,18.7346108,2014-11-26T04:00,17.6,76,0.0,20.1,345,0.0,1,23
-33.6733031,18.7346108,2014-11-26T05:00,17.6,77,0.0,21.6,345,0.0,2,56
-33.6733031,18.7346108,2014-11-26T06:00,18.8,70,0.0,25.2,346,0.0,2,52
-33.6733031,18.7346108,2014-11-26T07:00,19.9,59,0.0,26.6,347,0.0,2,62
-33.6733031,18.7346108,2014-11-26T08:00,21.6,52,0.0,28.4,345,0.0,2,57
-33.6733031,18.7346108,2014-11-26T09:00,23.2,47,0.0,30.8,339,0.0,2,75
-33.6733031,18.7346108,2014-11-26T10:00,23.5,46,0.0,31.3,336,0.0,2,63
-33.6733031,18.7346108,2014-11-26T11:00,23.4,47,0.0,32.4,333,0.0,2,55
-33.6733031,18.7346108,2014-11-26T12:00,23.3,47,0.0,31.1,330,0.0,2,73
-33.6733031,18.7346108,2014-11-26T13:00,23.1,46,0.0,29.0,330,0.0,2,72
-33.6733031,18.7346108,2014-11-26T14:00,22.5,48,0.0,27.9,327,0.0,1,45
-33.6733031,18.7346108,2014-11-26T15:00,21.7,50,0.0,27.7,321,0.0,2,62
-33.6733031,18.7346108,2014-11-26T16:00,20.7,56,0.0,25.7,318,0.0,3,80
-33.6733031,18.7346108,2014-11-26T17:00,19.2,66,0.0,22.0,322,0.0,2,58
-33.6733031,18.7346108,2014-11-26T18:00,17.8,76,0.1,17.3,329,0.0,51,47
-33.6733031,18.7346108,2014-11-26T19:00,16.6,87,0.4,17.5,323,0.0,51,73
-33.6733031,18.7346108,2014-11-26T20:00,16.2,91,0.4,14.7,324,0.0,51,94
-33.6733031,18.7346108,2014-11-26T21:00,15.8,95,0.4,13.7,333,0.0,51,94
-33.6733031,18.7346108,2014-11-26T22:00,15.6,95,0.4,13.7,333,0.0,51,78
-33.6733031,18.7346108,2014-11-26T23:00,15.5,95,0.5,14.4,328,0.0,53,65
-33.6733031,18.7346108,2014-11-27T00:00,15.2,95,0.5,13.8,313,0.0,53,92
-33.6733031,18.7346108,2014-11-27T01:00,14.8,96,0.4,12.3,310,0.0,51,77
-33.6733031,18.7346108,2014-11-27T02:00,14.8,94,0.5,11.4,305,0.0,53,76
-33.6733031,18.7346108,2014-11-27T03:00,14.6,96,0.3,10.7,310,0.0,51,89
-33.6733031,18.7346108,2014-11-27T04:00,14.5,97,0.3,11.0,311,0.0,51,69
-33.6733031,18.7346108,2014-11-27T05:00,15.5,95,0.3,11.0,308,0.0,51,58
-33.6733031,18.7346108,2014-11-27T06:00,16.7,90,0.6,10.5,311,0.0,53,70
-33.6733031,18.7346108,2014-11-27T07:00,18.6,83,0.5,13.0,298,0.0,53,58
-33.6733031,18.7346108,2014-11-27T08:00,19.4,77,0.5,13.8,290,0.0,53,92
-33.6733031,18.7346108,2014-11-27T09:00,19.5,76,0.7,15.2,274,0.0,53,68
-33.6733031,18.7346108,2014-11-27T10:00,20.5,70,0.7,16.6,266,0.0,53,47
-33.6733031,18.7346108,2014-11-27T11:00,20.7,69,0.7,17.6,259,0.0,53,69
-33.6733031,18.7346108,2014-11-27T12:00,20.7,69,0.5,19.3,256,0.0,53,46
-33.6733031,18.7346108,2014-11-27T13:00,20.9,67,0.3,19.1,250,0.0,51,34
-33.6733031,18.7346108,2014-11-27T14:00,20.7,67,0.1,19.0,245,0.0,51,35
-33.6733031,18.7346108,2014-11-27T15:00,20.2,67,0.0,18.5,241,0.0,1,24
-33.6733031,18.7346108,2014-11-27T16:00,19.4,69,0.0,17.1,240,0.0,0,15
-33.6733031,18.7346108,2014-11-27T17:00,18.4,73,0.0,14.3,242,0.0,0,16
-33.6733031,18.7346108,2014-11-27T18:00,17.0,82,0.0,9.7,239,0.0,1,25
-33.6733031,18.7346108,2014-11-27T19:00,16.5,86,0.0,6.8,238,0.0,1,21
-33.6733031,18.7346108,2014-11-27T20:00,15.8,90,0.0,5.2,245,0.0,1,25
-33.6733031,18.7346108,2014-11-27T21:00,15.7,89,0.0,2.2,270,0.0,1,37
-33.6733031,18.7346108,2014-11-27T22:00,15.7,88,0.0,2.7,337,0.0,1,29
-33.6733031,18.7346108,2014-11-27T23:00,14.6,94,0.0,3.6,360,0.0,1,28
-33.6733031,18.7346108,2014-11-28T00:00,14.3,94,0.0,4.0,10,0.0,1,31
-33.6733031,18.7346108,2014-11-28T01:00,14.1,95,0.0,3.7,29,0.0,1,37
-33.6733031,18.7346108,2014-11-28T02:00,13.9,95,0.0,3.6,45,0.0,1,35
-33.6733031,18.7346108,2014-11-28T03:00,13.8,96,0.0,2.4,63,0.0,1,46
-33.6733031,18.7346108,2014-11-28T04:00,13.8,98,0.0,1.1,72,0.0,1,39
-33.6733031,18.7346108,2014-11-28T05:00,15.0,95,0.0,1.5,45,0.0,1,47
-33.6733031,18.7346108,2014-11-28T06:00,16.6,84,0.0,0.7,360,0.0,2,78
-33.6733031,18.7346108,2014-11-28T07:00,18.6,68,0.0,1.5,284,0.0,3,96
-33.6733031,18.7346108,2014-11-28T08:00,20.2,58,0.0,3.7,259,0.0,3,99
-33.6733031,18.7346108,2014-11-28T09:00,21.5,51,0.0,5.5,238,0.0,3,100
-33.6733031,18.7346108,2014-11-28T10:00,22.3,48,0.0,7.1,221,0.0,3,98
-33.6733031,18.7346108,2014-11-28T11:00,22.8,47,0.0,9.2,219,0.0,3,100
-33.6733031,18.7346108,2014-11-28T12:00,22.6,49,0.0,11.9,215,0.0,3,100
-33.6733031,18.7346108,2014-11-28T13:00,22.8,49,0.0,14.2,210,0.0,2,73
-33.6733031,18.7346108,2014-11-28T14:00,22.4,50,0.0,18.7,210,0.0,0,10
-33.6733031,18.7346108,2014-11-28T15:00,21.6,53,0.0,20.5,204,0.0,0,0
-33.6733031,18.7346108,2014-11-28T16:00,20.7,56,0.0,20.2,199,0.0,0,0
-33.6733031,18.7346108,2014-11-28T17:00,19.4,62,0.0,16.5,191,0.0,0,8
-33.6733031,18.7346108,2014-11-28T18:00,18.2,70,0.0,13.1,188,0.0,2,77
-33.6733031,18.7346108,2014-11-28T19:00,17.9,70,0.0,12.7,187,0.0,3,97
-33.6733031,18.7346108,2014-11-28T20:00,17.3,74,0.0,12.3,183,0.0,1,20
