timestamp,location-lat,location-long,tag-local-identifier
2025-05-30 12:00:00,21.530254,-158.29497,204416
2025-05-30 12:00:00,21.530254,-158.29497,204416
2025-06-05 12:00:00,21.36874,-158.17702,204416
2025-06-06 12:00:00,21.501348,-158.26988,204416
2025-06-07 12:00:00,21.376179,-158.15045,204416
2025-06-07 12:00:00,21.376179,-158.15045,204416
2025-06-08 12:00:00,21.364023,-158.20415,204416
2025-06-08 12:00:00,21.389347,-158.19044,204416
2025-06-12 12:00:00,21.560514,-158.27448,204416
2025-06-13 12:00:00,21.435873,-158.21507,204416
2025-06-13 12:00:00,21.435873,-158.21507,204416
2025-06-14 12:00:00,21.346548,-158.14954,204416
2025-06-14 12:00:00,21.346548,-158.14954,204416
2025-06-16 12:00:00,21.269215,-158.1393,204416
2025-06-16 12:00:00,21.269215,-158.1393,204416
2025-06-17 12:00:00,21.265423,-158.06021,204416
2025-06-18 12:00:00,21.419147,-158.23833,204416
2025-06-18 12:00:00,21.511383,-158.2689,204416
2025-06-18 12:00:00,21.511383,-158.2689,204416
2025-06-18 12:00:00,21.367855,-158.19305,204416
2025-06-20 12:00:00,21.367855,-158.19305,204416
2025-06-21 12:00:00,21.367855,-158.19305,204416
2025-06-22 12:00:00,21.367855,-158.19305,204416
2025-06-23 12:00:00,21.558546,-158.3136,204416
2025-06-25 12:00:00,21.558546,-158.3136,204416
2025-06-29 12:00:00,21.391356,-158.21675,204416
2025-06-29 12:00:00,21.391356,-158.21675,204416
2025-06-30 12:00:00,21.391356,-158.21675,204416
2025-07-03 12:00:00,21.391356,-158.21675,204416
2025-07-04 12:00:00,21.420113,-158.20532,204416
2025-07-04 12:00:00,21.420113,-158.20532,204416
2025-07-05 12:00:00,21.420113,-158.20532,204416
2025-07-12 12:00:00,21.564764,-158.31949,204416
2025-07-15 12:00:00,21.559708,-158.32172,204416
2025-07-16 12:00:00,21.559708,-158.32172,204416
2025-07-18 12:00:00,21.559708,-158.32172,204416
2025-07-21 12:00:00,21.559092,-158.33778,204416
2025-07-21 12:00:00,21.559092,-158.33778,204416
2025-07-23 12:00:00,21.37189,-158.19934,204416
2025-07-24 12:00:00,21.37189,-158.19934,204416
2025-07-27 12:00:00,21.37189,-158.19934,204416
2025-07-27 12:00:00,21.37189,-158.19934,204416
2025-07-27 12:00:00,21.37189,-158.19934,204416
2025-07-27 12:00:00,21.338596,-158.17712,204416
2025-07-27 12:00:00,21.338596,-158.17712,204416
2025-07-28 12:00:00,21.459934,-158.23106,204416
2025-07-28 12:00:00,21.459934,-158.23106,204416
2025-07-30 12:00:00,21.442698,-158.25114,204416
2025-07-31 12:00:00,21.442698,-158.25114,204416
2025-07-31 12:00:00,21.442698,-158.25114,204416
2025-08-01 12:00:00,21.61269,-158.25282,204416
2025-08-01 12:00:00,21.61269,-158.25282,204416
2025-08-04 12:00:00,21.547323,-158.2986,204416
2025-08-05 12:00:00,21.412188,-158.23724,204416
2025-08-08 12:00:00,21.412188,-158.23724,204416
2025-08-09 12:00:00,21.412188,-158.23724,204416
2025-08-09 12:00:00,21.412188,-158.23724,204416
2025-08-12 12:00:00,21.412188,-158.23724,204416
2025-08-15 12:00:00,21.426851,-158.25244,204416
2025-08-22 12:00:00,21.426851,-158.25244,204416
2025-08-22 12:00:00,21.367569,-158.22119,204416
2025-08-23 12:00:00,21.282475,-158.16795,204416
2025-08-23 12:00:00,21.282475,-158.16795,204416
2025-08-24 12:00:00,21.282475,-158.16795,204416
2025-08-25 12:00:00,21.282475,-158.16795,204416
2025-08-25 12:00:00,21.453457,-158.25533,204416
2025-08-25 12:00:00,21.453457,-158.25533,204416
2025-08-26 12:00:00,21.480982,-158.25885,204416
2025-08-29 12:00:00,21.480982,-158.25885,204416
2025-08-30 12:00:00,21.480982,-158.25885,204416
2025-09-01 12:00:00,21.400442,-158.19649,204416
2025-09-01 12:00:00,21.400442,-158.19649,204416
2025-09-06 12:00:00,21.500778,-158.24567,204416
2025-09-08 12:00:00,21.445915,-158.21103,204416
2025-09-09 12:00:00,21.445915,-158.21103,204416
2025-09-09 12:00:00,21.445915,-158.21103,204416
2025-09-10 12:00:00,21.376118,-158.15804,204416
2025-09-17 12:00:00,21.28617,-158.15092,204416
2025-09-20 12:00:00,21.360584,-158.29247,204416
2025-09-20 12:00:00,21.360584,-158.29247,204416
2025-09-21 12:00:00,21.33486,-158.18176,204416
2025-09-21 12:00:00,21.33486,-158.18176,204416
2025-09-22 12:00:00,21.357656,-158.18796,204416
2025-04-04 12:00:00,21.8776,-158.1625,285442
2025-04-05 12:00:00,21.763897,-158.37813,285442
2025-04-05 12:00:00,21.6752,-158.6185,285442
2025-04-05 12:00:00,21.556,-158.628,285442
2025-04-06 12:00:00,21.601294,-158.32863,285442
2025-04-09 12:00:00,21.788,-158.0336,285442
2025-04-10 12:00:00,21.763538,-158.0322,285442
2025-04-11 12:00:00,21.8063,-158.0273,285442
2025-04-13 12:00:00,21.888546,-157.96814,285442
2025-04-14 12:00:00,22.092283,-158.07458,285442
2025-04-14 12:00:00,22.177387,-158.19357,285442
2025-04-20 12:00:00,21.6181,-157.8483,285442
2025-04-29 12:00:00,21.5048,-157.819,285442
2025-05-01 12:00:00,21.5377,-157.8215,285442
2025-05-17 12:00:00,20.9771,-157.718,285442
2025-06-05 12:00:00,21.48316,-157.79353,285442
2025-06-18 12:00:00,21.163,-157.6269,285442
2025-06-24 12:00:00,21.2433,-156.955,285442
2025-07-05 12:00:00,21.6878,-158.0747,285442
